comment,sentiment,Unnamed: 2,tokens
haan haan haan haan haan nice message haan haan haan oh my god super,positive,,"['haan', 'haan', 'haan', 'haan', 'haan', 'nice', 'message', 'haan', 'haan', 'haan', 'oh', 'my', 'god', 'super']"
love it,positive,,"['love', 'it']"
kamal,positive,,['kamal']
oh no bhul gaye hum ye bhi use kr leni chahye thi,positive,,"['oh', 'no', 'bhul', 'gaye', 'hum', 'ye', 'bhi', 'use', 'kr', 'leni', 'chahye', 'thi']"
cute p,positive,,"['cute', 'p']"
wah he was the person behind the camera,positive,,"['wah', 'he', 'was', 'the', 'person', 'behind', 'the', 'camera']"
thank you the video has been uploaded do check it out,positive,,"['thank', 'you', 'the', 'video', 'has', 'been', 'uploaded', 'do', 'check', 'it', 'out']"
amazing maza aha gaya daikh kr bhi,positive,,"['amazing', 'maza', 'aha', 'gaya', 'daikh', 'kr', 'bhi']"
hahaahahhaau achi hy keeep it up,positive,,"['hahaahahhaau', 'achi', 'hy', 'keeep', 'it', 'up']"
hahaha good try,positive,,"['hahaha', 'good', 'try']"
oh wow beautiful 3,positive,,"['oh', 'wow', 'beautiful', '3']"
hahaaa good one,positive,,"['hahaaa', 'good', 'one']"
great job,positive,,"['great', 'job']"
ab esy real face exprtn ma maza atha haia kay over acting ma,positive,,"['ab', 'esy', 'real', 'face', 'exprtn', 'ma', 'maza', 'atha', 'haia', 'kay', 'over', 'acting', 'ma']"
good one,positive,,"['good', 'one']"
nice but funny,positive,,"['nice', 'but', 'funny']"
happy eid in advance namra,positive,,"['happy', 'eid', 'in', 'advance', 'namra']"
thank you so much same to you d,positive,,"['thank', 'you', 'so', 'much', 'same', 'to', 'you', 'd']"
good one,positive,,"['good', 'one']"
thank you so much,positive,,"['thank', 'you', 'so', 'much']"
thank you so much,positive,,"['thank', 'you', 'so', 'much']"
my pleasure make some video on mother love it will be good to see from you people,positive,,"['my', 'pleasure', 'make', 'some', 'video', 'on', 'mother', 'love', 'it', 'will', 'be', 'good', 'to', 'see', 'from', 'you', 'people']"
thank you very much,positive,,"['thank', 'you', 'very', 'much']"
haha thank you so much,positive,,"['haha', 'thank', 'you', 'so', 'much']"
hahahaha level hogya all sopaholicks can relate to this video and i hope next time they will be found saying nahe nahe ye aap le lein main kuch or le leti hoon p s eid mubarak to you too in advance,positive,,"['hahahaha', 'level', 'hogya', 'all', 'sopaholicks', 'can', 'relate', 'to', 'this', 'video', 'and', 'i', 'hope', 'next', 'time', 'they', 'will', 'be', 'found', 'saying', 'nahe', 'nahe', 'ye', 'aap', 'le', 'lein', 'main', 'kuch', 'or', 'le', 'leti', 'hoon', 'p', 's', 'eid', 'mubarak', 'to', 'you', 'too', 'in', 'advance']"
hahaha bilkul perfect naqsha khencha,positive,,"['hahaha', 'bilkul', 'perfect', 'naqsha', 'khencha']"
laugh thank you so much,positive,,"['laugh', 'thank', 'you', 'so', 'much']"
when some cute gals give such a beautiful message you can t scroll down without liking it,positive,,"['when', 'some', 'cute', 'gals', 'give', 'such', 'a', 'beautiful', 'message', 'you', 'can', 't', 'scroll', 'down', 'without', 'liking', 'it']"
nice advance happy eid mubarak to nvinez team and all members,positive,,"['nice', 'advance', 'happy', 'eid', 'mubarak', 'to', 'nvinez', 'team', 'and', 'all', 'members']"
thank you same to you,positive,,"['thank', 'you', 'same', 'to', 'you']"
yar wo jo start may left wali bandi hay na bari kamal hay cute,positive,,"['yar', 'wo', 'jo', 'start', 'may', 'left', 'wali', 'bandi', 'hay', 'na', 'bari', 'kamal', 'hay', 'cute']"
hahaha thank you g,positive,,"['hahaha', 'thank', 'you', 'g']"
hahaha thank you g,positive,,"['hahaha', 'thank', 'you', 'g']"
eid mubarak ho ge,positive,,"['eid', 'mubarak', 'ho', 'ge']"
kher mubarak,positive,,"['kher', 'mubarak']"
shukar dangl nahi howa,positive,,"['shukar', 'dangl', 'nahi', 'howa']"
bht alaw,positive,,"['bht', 'alaw']"
thank you so much,positive,,"['thank', 'you', 'so', 'much']"
thank you so much,positive,,"['thank', 'you', 'so', 'much']"
good work as always,positive,,"['good', 'work', 'as', 'always']"
good message keep it up,positive,,"['good', 'message', 'keep', 'it', 'up']"
funny,positive,,['funny']
acha kaam kr rhy ho bachoon,positive,,"['acha', 'kaam', 'kr', 'rhy', 'ho', 'bachoon']"
thank you so much,positive,,"['thank', 'you', 'so', 'much']"
thank you so much,positive,,"['thank', 'you', 'so', 'much']"
good 1,positive,,"['good', '1']"
start video so funny but last nice message,positive,,"['start', 'video', 'so', 'funny', 'but', 'last', 'nice', 'message']"
great inspiration,positive,,"['great', 'inspiration']"
wohooo just love it p s that phupii ka walima cracked main up,positive,,"['wohooo', 'just', 'love', 'it', 'p', 's', 'that', 'phupii', 'ka', 'walima', 'cracked', 'main', 'up']"
you creative lady 3 chah gyi really bht bht acha likha hy i couldn t read last three lessons but jtna prha it gave main a lesson kay doosron ki jeet sy b seekhna chaye aur haar sy bhi y your thoughts are sooooo amazing every time with a new n wonderful idea n i really love this one keep shining,positive,,"['you', 'creative', 'lady', '3', 'chah', 'gyi', 'really', 'bht', 'bht', 'acha', 'likha', 'hy', 'i', 'couldn', 't', 'read', 'last', 'three', 'lessons', 'but', 'jtna', 'prha', 'it', 'gave', 'main', 'a', 'lesson', 'kay', 'doosron', 'ki', 'jeet', 'sy', 'b', 'seekhna', 'chaye', 'aur', 'haar', 'sy', 'bhi', 'y', 'your', 'thoughts', 'are', 'sooooo', 'amazing', 'every', 'time', 'with', 'a', 'new', 'n', 'wonderful', 'idea', 'n', 'i', 'really', 'love', 'this', 'one', 'keep', 'shining']"
ab allah izzat rkh le batain to bht ho gaien,positive,,"['ab', 'allah', 'izzat', 'rkh', 'le', 'batain', 'to', 'bht', 'ho', 'gaien']"
mtlb india pak ka final main taakra nhi hona,positive,,"['mtlb', 'india', 'pak', 'ka', 'final', 'main', 'taakra', 'nhi', 'hona']"
tb angrez gaye to india pak ko lara gaye ab phr wohi ho rha hai umeed hai smj nai ho gi,positive,,"['tb', 'angrez', 'gaye', 'to', 'india', 'pak', 'ko', 'lara', 'gaye', 'ab', 'phr', 'wohi', 'ho', 'rha', 'hai', 'umeed', 'hai', 'smj', 'nai', 'ho', 'gi']"
ye chotu ka motu se zyda acha role hota hamesha esa q,positive,,"['ye', 'chotu', 'ka', 'motu', 'se', 'zyda', 'acha', 'role', 'hota', 'hamesha', 'esa', 'q']"
kamal haan yr kasam sa ye lrki bht relented haan,positive,,"['kamal', 'haan', 'yr', 'kasam', 'sa', 'ye', 'lrki', 'bht', 'relented', 'haan']"
zaberdst,positive,,['zaberdst']
good manners,positive,,"['good', 'manners']"
pehle sochna chahiye tha good to see cricket boards taking action like these,positive,,"['pehle', 'sochna', 'chahiye', 'tha', 'good', 'to', 'see', 'cricket', 'boards', 'taking', 'action', 'like', 'these']"
the way african cops treated him iss very disappointing great player,positive,,"['the', 'way', 'african', 'cops', 'treated', 'him', 'iss', 'very', 'disappointing', 'great', 'player']"
asghar didn t get chances and anwar ali was good it s harsh to name them,positive,,"['asghar', 'didn', 't', 'get', 'chances', 'and', 'anwar', 'ali', 'was', 'good', 'it', 's', 'harsh', 'to', 'name', 'them']"
bhai wo kaptaan hai post mai pehlay hee mention hai wo,positive,,"['bhai', 'wo', 'kaptaan', 'hai', 'post', 'mai', 'pehlay', 'hee', 'mention', 'hai', 'wo']"
post mayn pehlay mention nahi tha,positive,,"['post', 'mayn', 'pehlay', 'mention', 'nahi', 'tha']"
selfie master ahmed shahzad,positive,,"['selfie', 'master', 'ahmed', 'shahzad']"
acha player haan form ma haan international matches ma wohi scr krta nz ma b us nr kiye,positive,,"['acha', 'player', 'haan', 'form', 'ma', 'haan', 'international', 'matches', 'ma', 'wohi', 'scr', 'krta', 'nz', 'ma', 'b', 'us', 'nr', 'kiye']"
i love lahore qalandars,positive,,"['i', 'love', 'lahore', 'qalandars']"
abhy chal ns babr na kitna zabrdast khala haan pora psl tum log kabhi khush na hona tul asal ma zardari jsa insan ka laiq ho,positive,,"['abhy', 'chal', 'ns', 'babr', 'na', 'kitna', 'zabrdast', 'khala', 'haan', 'pora', 'psl', 'tum', 'log', 'kabhi', 'khush', 'na', 'hona', 'tul', 'asal', 'ma', 'zardari', 'jsa', 'insan', 'ka', 'laiq', 'ho']"
great day for whole pakistan,positive,,"['great', 'day', 'for', 'whole', 'pakistan']"
i love you,positive,,"['i', 'love', 'you']"
i love you lahore qalandars g,positive,,"['i', 'love', 'you', 'lahore', 'qalandars', 'g']"
good,positive,,['good']
good news,positive,,"['good', 'news']"
good game bhai,positive,,"['good', 'game', 'bhai']"
very good lahore qalandars,positive,,"['very', 'good', 'lahore', 'qalandars']"
koi dekhy to hamen bol kon raha hy d jin pr tars kha kay hm dua kr rhy thy kay ye bhi 2 for match jeet jayn bechary,positive,,"['koi', 'dekhy', 'to', 'hamen', 'bol', 'kon', 'raha', 'hy', 'd', 'jin', 'pr', 'tars', 'kha', 'kay', 'hm', 'dua', 'kr', 'rhy', 'thy', 'kay', 'ye', 'bhi', '2', 'for', 'match', 'jeet', 'jayn', 'bechary']"
aby jao na tm lahorio saalo daggay ho tm sab gadhay ka gosht kha kha kay khud bhi gadhay hogae ho lahore aj tak psl main playoff tak nahi phncha yaha tak kay shuru kay do seasons main 5 teams kay hoty hue bhi 5 position pe hi raha or ab 6 pr agaya lanatttt,positive,,"['aby', 'jao', 'na', 'tm', 'lahorio', 'saalo', 'daggay', 'ho', 'tm', 'sab', 'gadhay', 'ka', 'gosht', 'kha', 'kha', 'kay', 'khud', 'bhi', 'gadhay', 'hogae', 'ho', 'lahore', 'aj', 'tak', 'psl', 'main', 'playoff', 'tak', 'nahi', 'phncha', 'yaha', 'tak', 'kay', 'shuru', 'kay', 'do', 'seasons', 'main', '5', 'teams', 'kay', 'hoty', 'hue', 'bhi', '5', 'position', 'pe', 'hi', 'raha', 'or', 'ab', '6', 'pr', 'agaya', 'lanatttt']"
ny to bht umda prfomce di hy tum apny lahore ki fkr kro,positive,,"['ny', 'to', 'bht', 'umda', 'prfomce', 'di', 'hy', 'tum', 'apny', 'lahore', 'ki', 'fkr', 'kro']"
theek hai,positive,,"['theek', 'hai']"
lahore love karachi hahahaha,positive,,"['lahore', 'love', 'karachi', 'hahahaha']"
great,positive,,['great']
true but its the league of pakistan and we are proud of it,positive,,"['true', 'but', 'its', 'the', 'league', 'of', 'pakistan', 'and', 'we', 'are', 'proud', 'of', 'it']"
good,positive,,['good']
i love you lahore qalandrs,positive,,"['i', 'love', 'you', 'lahore', 'qalandrs']"
bus beta bus kal tara naseeb acha tha ka saqlain haydrabad tha warna tari khair nhi thi kal,positive,,"['bus', 'beta', 'bus', 'kal', 'tara', 'naseeb', 'acha', 'tha', 'ka', 'saqlain', 'haydrabad', 'tha', 'warna', 'tari', 'khair', 'nhi', 'thi', 'kal']"
hahaha tu murs haan to aja kl kay match p zalmi meri,positive,,"['hahaha', 'tu', 'murs', 'haan', 'to', 'aja', 'kl', 'kay', 'match', 'p', 'zalmi', 'meri']"
mujy manzor haan zalmi meri a jao,positive,,"['mujy', 'manzor', 'haan', 'zalmi', 'meri', 'a', 'jao']"
i love zalmi,positive,,"['i', 'love', 'zalmi']"
i love zalmi,positive,,"['i', 'love', 'zalmi']"
tu apna aap ko hoshyr smj rh haan tha kia 80 pesa zalmi or tuje hum sidr side main da dta wah mor wah,positive,,"['tu', 'apna', 'aap', 'ko', 'hoshyr', 'smj', 'rh', 'haan', 'tha', 'kia', '80', 'pesa', 'zalmi', 'or', 'tuje', 'hum', 'sidr', 'side', 'main', 'da', 'dta', 'wah', 'mor', 'wah']"
i love krachi,positive,,"['i', 'love', 'krachi']"
match ka maza aa gya tha,positive,,"['match', 'ka', 'maza', 'aa', 'gya', 'tha']"
good aaj kis team ko support kur rahi ho peshawar gladiators,positive,,"['good', 'aaj', 'kis', 'team', 'ko', 'support', 'kur', 'rahi', 'ho', 'peshawar', 'gladiators']"
hahaha love qalandars,positive,,"['hahaha', 'love', 'qalandars']"
next season main achi team ly kay ana please play off main bahir ni hona next year,positive,,"['next', 'season', 'main', 'achi', 'team', 'ly', 'kay', 'ana', 'please', 'play', 'off', 'main', 'bahir', 'ni', 'hona', 'next', 'year']"
next time trophy apni a dont worry,positive,,"['next', 'time', 'trophy', 'apni', 'a', 'dont', 'worry']"
bohat achy,positive,,"['bohat', 'achy']"
next time koi bahir ka acha fast bowler ko khelana jese kay michel starc,positive,,"['next', 'time', 'koi', 'bahir', 'ka', 'acha', 'fast', 'bowler', 'ko', 'khelana', 'jese', 'kay', 'michel', 'starc']"
styen from south africa ko khela laay boht acha fast bowler hai or omer gul ko,positive,,"['styen', 'from', 'south', 'africa', 'ko', 'khela', 'laay', 'boht', 'acha', 'fast', 'bowler', 'hai', 'or', 'omer', 'gul', 'ko']"
love you fawad ranaa,positive,,"['love', 'you', 'fawad', 'ranaa']"
mickey arthur is not god of cricket team what rubbish if a player is playing good cricket he must have given chance age doesn t matter until he is performing,positive,,"['mickey', 'arthur', 'is', 'not', 'god', 'of', 'cricket', 'team', 'what', 'rubbish', 'if', 'a', 'player', 'is', 'playing', 'good', 'cricket', 'he', 'must', 'have', 'given', 'chance', 'age', 'doesn', 't', 'matter', 'until', 'he', 'is', 'performing']"
good,positive,,['good']
great saying kab tk kmran family or afridi kay peechay bhago just forget them nd go ahead,positive,,"['great', 'saying', 'kab', 'tk', 'kmran', 'family', 'or', 'afridi', 'kay', 'peechay', 'bhago', 'just', 'forget', 'them', 'nd', 'go', 'ahead']"
i love your lahore qalandrs very good,positive,,"['i', 'love', 'your', 'lahore', 'qalandrs', 'very', 'good']"
its a good decisions of micky we appreciate it,positive,,"['its', 'a', 'good', 'decisions', 'of', 'micky', 'we', 'appreciate', 'it']"
lahore qalandars very good 2019,positive,,"['lahore', 'qalandars', 'very', 'good', '2019']"
g lahore qalandars 2019 ok g very good,positive,,"['g', 'lahore', 'qalandars', '2019', 'ok', 'g', 'very', 'good']"
lahore qalandars i love you 2019 very good,positive,,"['lahore', 'qalandars', 'i', 'love', 'you', '2019', 'very', 'good']"
love,positive,,['love']
i love your lahore qalandars very nice 2019,positive,,"['i', 'love', 'your', 'lahore', 'qalandars', 'very', 'nice', '2019']"
balkay sirf yahi khayal acha hai,positive,,"['balkay', 'sirf', 'yahi', 'khayal', 'acha', 'hai']"
i love lahore qalandar,positive,,"['i', 'love', 'lahore', 'qalandar']"
love you too man,positive,,"['love', 'you', 'too', 'man']"
rana fawad sb great personallah pak unhy khush rakhyameen,positive,,"['rana', 'fawad', 'sb', 'great', 'personallah', 'pak', 'unhy', 'khush', 'rakhyameen']"
jo hota achy kay liye hota haan,positive,,"['jo', 'hota', 'achy', 'kay', 'liye', 'hota', 'haan']"
love lq uncondtionly,positive,,"['love', 'lq', 'uncondtionly']"
umar akmal is great talent kuch match mai nhi chala we hope lq end with win love to watch umar akmal batting big fan of him in lq,positive,,"['umar', 'akmal', 'is', 'great', 'talent', 'kuch', 'match', 'mai', 'nhi', 'chala', 'we', 'hope', 'lq', 'end', 'with', 'win', 'love', 'to', 'watch', 'umar', 'akmal', 'batting', 'big', 'fan', 'of', 'him', 'in', 'lq']"
inhsllah inhsllah our pryers and best wishes is with our team next time not pick up the umar akml becz he is not the good choice akib jawed should knws that this man is not good to stay ni team this squad bowling and batting very good next time we won the cup and we won the millons fans hearts,positive,,"['inhsllah', 'inhsllah', 'our', 'pryers', 'and', 'best', 'wishes', 'is', 'with', 'our', 'team', 'next', 'time', 'not', 'pick', 'up', 'the', 'umar', 'akml', 'becz', 'he', 'is', 'not', 'the', 'good', 'choice', 'akib', 'jawed', 'should', 'knws', 'that', 'this', 'man', 'is', 'not', 'good', 'to', 'stay', 'ni', 'team', 'this', 'squad', 'bowling', 'and', 'batting', 'very', 'good', 'next', 'time', 'we', 'won', 'the', 'cup', 'and', 'we', 'won', 'the', 'millons', 'fans', 'hearts']"
i love you lahore qalandars very good,positive,,"['i', 'love', 'you', 'lahore', 'qalandars', 'very', 'good']"
thank you for your support,positive,,"['thank', 'you', 'for', 'your', 'support']"
love you lhr,positive,,"['love', 'you', 'lhr']"
love you too,positive,,"['love', 'you', 'too']"
shukar hai aqal dair se ai par ai to sahe and rana sabb we always love you,positive,,"['shukar', 'hai', 'aqal', 'dair', 'se', 'ai', 'par', 'ai', 'to', 'sahe', 'and', 'rana', 'sabb', 'we', 'always', 'love', 'you']"
psl ko he aag lga do,positive,,"['psl', 'ko', 'he', 'aag', 'lga', 'do']"
good,positive,,['good']
point table par position dekho team ki worst performance dekho or baatein dekho,positive,,"['point', 'table', 'par', 'position', 'dekho', 'team', 'ki', 'worst', 'performance', 'dekho', 'or', 'baatein', 'dekho']"
yar jeet jana ab har kay bahir na hojana,positive,,"['yar', 'jeet', 'jana', 'ab', 'har', 'kay', 'bahir', 'na', 'hojana']"
2 match jeet kay ye b ragarny ki batain krny lgy,positive,,"['2', 'match', 'jeet', 'kay', 'ye', 'b', 'ragarny', 'ki', 'batain', 'krny', 'lgy']"
very good,positive,,"['very', 'good']"
very good lahore qalandars i love you,positive,,"['very', 'good', 'lahore', 'qalandars', 'i', 'love', 'you']"
tournament se nikal gae hain kya faida,positive,,"['tournament', 'se', 'nikal', 'gae', 'hain', 'kya', 'faida']"
good,positive,,['good']
always support you lahore qalandars if you lose or win i am always support you aj ka match tu kamal ho gya,positive,,"['always', 'support', 'you', 'lahore', 'qalandars', 'if', 'you', 'lose', 'or', 'win', 'i', 'am', 'always', 'support', 'you', 'aj', 'ka', 'match', 'tu', 'kamal', 'ho', 'gya']"
thank you for your support,positive,,"['thank', 'you', 'for', 'your', 'support']"
bhai trophy apni hai ye to ab mazak he lag raha hai 3 saal ho ge qalanders last he hoty haan,positive,,"['bhai', 'trophy', 'apni', 'hai', 'ye', 'to', 'ab', 'mazak', 'he', 'lag', 'raha', 'hai', '3', 'saal', 'ho', 'ge', 'qalanders', 'last', 'he', 'hoty', 'haan']"
agli q yeh bhi trophy apni hai behsak lahore aagly saare match harr bhi gya tb bhi final lahore ka hi hai,positive,,"['agli', 'q', 'yeh', 'bhi', 'trophy', 'apni', 'hai', 'behsak', 'lahore', 'aagly', 'saare', 'match', 'harr', 'bhi', 'gya', 'tb', 'bhi', 'final', 'lahore', 'ka', 'hi', 'hai']"
yeh jazba nahi hai hamdardi hai,positive,,"['yeh', 'jazba', 'nahi', 'hai', 'hamdardi', 'hai']"
umer akmal ko nikal dena aglay saal inshallah jeet jae gae,positive,,"['umer', 'akmal', 'ko', 'nikal', 'dena', 'aglay', 'saal', 'inshallah', 'jeet', 'jae', 'gae']"
good luck qalandarz damadammast,positive,,"['good', 'luck', 'qalandarz', 'damadammast']"
lahore qalandars love you,positive,,"['lahore', 'qalandars', 'love', 'you']"
good but it s bad that umar akmal is not in the team,positive,,"['good', 'but', 'it', 's', 'bad', 'that', 'umar', 'akmal', 'is', 'not', 'in', 'the', 'team']"
good,positive,,['good']
thank you for your support,positive,,"['thank', 'you', 'for', 'your', 'support']"
oh no,positive,,"['oh', 'no']"
ab beshak lahore saray jeet jaye tab bhi qualify nai kar sakti kioon kay aj karachi jeet gya,positive,,"['ab', 'beshak', 'lahore', 'saray', 'jeet', 'jaye', 'tab', 'bhi', 'qualify', 'nai', 'kar', 'sakti', 'kioon', 'kay', 'aj', 'karachi', 'jeet', 'gya']"
i love lahore qalandars or ma agy bhi lahore ko sport karo ga qk lahore lahore hai g,positive,,"['i', 'love', 'lahore', 'qalandars', 'or', 'ma', 'agy', 'bhi', 'lahore', 'ko', 'sport', 'karo', 'ga', 'qk', 'lahore', 'lahore', 'hai', 'g']"
sab se pehley bowlnig kiya karoo,positive,,"['sab', 'se', 'pehley', 'bowlnig', 'kiya', 'karoo']"
ye tu bat paki hai team thik nahi main kisi player ko ghalat nahi keh ra sab achay hain asal main ye sab apas main mil ke nahi kheltay apas main shayed dost nahi sirf masla ye hai kisi ek player ka nahi team ko team kay sath chalna chahye khair mein bhi lahore support krta hun good luck,positive,,"['ye', 'tu', 'bat', 'paki', 'hai', 'team', 'thik', 'nahi', 'main', 'kisi', 'player', 'ko', 'ghalat', 'nahi', 'keh', 'ra', 'sab', 'achay', 'hain', 'asal', 'main', 'ye', 'sab', 'apas', 'main', 'mil', 'ke', 'nahi', 'kheltay', 'apas', 'main', 'shayed', 'dost', 'nahi', 'sirf', 'masla', 'ye', 'hai', 'kisi', 'ek', 'player', 'ka', 'nahi', 'team', 'ko', 'team', 'kay', 'sath', 'chalna', 'chahye', 'khair', 'mein', 'bhi', 'lahore', 'support', 'krta', 'hun', 'good', 'luck']"
jeet kay ye match finals main pohch jao gy agr haan to pocho suggestions idiots,positive,,"['jeet', 'kay', 'ye', 'match', 'finals', 'main', 'pohch', 'jao', 'gy', 'agr', 'haan', 'to', 'pocho', 'suggestions', 'idiots']"
thank you for your kind words and your support really appreciate it how you support your team in difficult time,positive,,"['thank', 'you', 'for', 'your', 'kind', 'words', 'and', 'your', 'support', 'really', 'appreciate', 'it', 'how', 'you', 'support', 'your', 'team', 'in', 'difficult', 'time']"
meri teamnice joke,positive,,"['meri', 'teamnice', 'joke']"
very good lahore qalandars,positive,,"['very', 'good', 'lahore', 'qalandars']"
i love lahore qalanders so bring akmal in for gulraiz and kale abbot in for mitchel any chance of lahore to qualify for qualifier s,positive,,"['i', 'love', 'lahore', 'qalanders', 'so', 'bring', 'akmal', 'in', 'for', 'gulraiz', 'and', 'kale', 'abbot', 'in', 'for', 'mitchel', 'any', 'chance', 'of', 'lahore', 'to', 'qualify', 'for', 'qualifier', 's']"
thank you for your support we will win next year inshallah,positive,,"['thank', 'you', 'for', 'your', 'support', 'we', 'will', 'win', 'next', 'year', 'inshallah']"
no there is a strong squad those player s are playing better than umar akml the team is good we want best opeming score or partnership today,positive,,"['no', 'there', 'is', 'a', 'strong', 'squad', 'those', 'player', 's', 'are', 'playing', 'better', 'than', 'umar', 'akml', 'the', 'team', 'is', 'good', 'we', 'want', 'best', 'opeming', 'score', 'or', 'partnership', 'today']"
itna gusa kyun jeet to gaye ab abi b maza nai aya kia,positive,,"['itna', 'gusa', 'kyun', 'jeet', 'to', 'gaye', 'ab', 'abi', 'b', 'maza', 'nai', 'aya', 'kia']"
good team,positive,,"['good', 'team']"
jis ny kal ka match ni dekha us ny kuch b nai dekha i love lhr team,positive,,"['jis', 'ny', 'kal', 'ka', 'match', 'ni', 'dekha', 'us', 'ny', 'kuch', 'b', 'nai', 'dekha', 'i', 'love', 'lhr', 'team']"
hum apnay matches saray jeet jayay achay margin se or baqi teams kay matches bariish ki nazar ho jayay,positive,,"['hum', 'apnay', 'matches', 'saray', 'jeet', 'jayay', 'achay', 'margin', 'se', 'or', 'baqi', 'teams', 'kay', 'matches', 'bariish', 'ki', 'nazar', 'ho', 'jayay']"
hhhhhhhh good luck,positive,,"['hhhhhhhh', 'good', 'luck']"
i love your lahore qalandars,positive,,"['i', 'love', 'your', 'lahore', 'qalandars']"
good,positive,,['good']
mubark ho akhir jeet he gy,positive,,"['mubark', 'ho', 'akhir', 'jeet', 'he', 'gy']"
super,positive,,['super']
hahaha 1 match jeet kay jaykant shikray ban gya a yaaar ki masla a hahahahahhahahahahhahaha ager saray jeet jatay to,positive,,"['hahaha', '1', 'match', 'jeet', 'kay', 'jaykant', 'shikray', 'ban', 'gya', 'a', 'yaaar', 'ki', 'masla', 'a', 'hahahahahhahahahahhahaha', 'ager', 'saray', 'jeet', 'jatay', 'to']"
good team,positive,,"['good', 'team']"
lag raha ke jeet jain ge,positive,,"['lag', 'raha', 'ke', 'jeet', 'jain', 'ge']"
jab tak lahore ki shirt sey geo ka logo nahi uthy ga tab tak nahi jeet sakta,positive,,"['jab', 'tak', 'lahore', 'ki', 'shirt', 'sey', 'geo', 'ka', 'logo', 'nahi', 'uthy', 'ga', 'tab', 'tak', 'nahi', 'jeet', 'sakta']"
acha,positive,,['acha']
very good 2019 lahore qalandars,positive,,"['very', 'good', '2019', 'lahore', 'qalandars']"
lahore qalandars i love your g,positive,,"['lahore', 'qalandars', 'i', 'love', 'your', 'g']"
thank you for your support,positive,,"['thank', 'you', 'for', 'your', 'support']"
welly plyed qalandars love you a lot,positive,,"['welly', 'plyed', 'qalandars', 'love', 'you', 'a', 'lot']"
love you lahore qalander tum jeeto ya haro we will support you dam ma dam mast,positive,,"['love', 'you', 'lahore', 'qalander', 'tum', 'jeeto', 'ya', 'haro', 'we', 'will', 'support', 'you', 'dam', 'ma', 'dam', 'mast']"
thank you for your support,positive,,"['thank', 'you', 'for', 'your', 'support']"
i love you lahore qalandars,positive,,"['i', 'love', 'you', 'lahore', 'qalandars']"
great man sacha pakistanibig man,positive,,"['great', 'man', 'sacha', 'pakistanibig', 'man']"
lahore qalandars i love you,positive,,"['lahore', 'qalandars', 'i', 'love', 'you']"
great man,positive,,"['great', 'man']"
he is great man but i want to know he is spending much money but no planing y they didnt give chance to kyel abbot bilal asif is good allrounder y no chnce for him and many others,positive,,"['he', 'is', 'great', 'man', 'but', 'i', 'want', 'to', 'know', 'he', 'is', 'spending', 'much', 'money', 'but', 'no', 'planing', 'y', 'they', 'didnt', 'give', 'chance', 'to', 'kyel', 'abbot', 'bilal', 'asif', 'is', 'good', 'allrounder', 'y', 'no', 'chnce', 'for', 'him', 'and', 'many', 'others']"
rang baz team main rakhy hue hy match jeet jaye bari baat hy trophy to buhat door hy,positive,,"['rang', 'baz', 'team', 'main', 'rakhy', 'hue', 'hy', 'match', 'jeet', 'jaye', 'bari', 'baat', 'hy', 'trophy', 'to', 'buhat', 'door', 'hy']"
abhi tk to aa raha hai,positive,,"['abhi', 'tk', 'to', 'aa', 'raha', 'hai']"
abhi ka sunao maza a rha hai,positive,,"['abhi', 'ka', 'sunao', 'maza', 'a', 'rha', 'hai']"
love you qalandars,positive,,"['love', 'you', 'qalandars']"
yar haq maza ana match haar geye,positive,,"['yar', 'haq', 'maza', 'ana', 'match', 'haar', 'geye']"
hanji bilkul apni hi aa,positive,,"['hanji', 'bilkul', 'apni', 'hi', 'aa']"
ahahahha zabardast,positive,,"['ahahahha', 'zabardast']"
aala p,positive,,"['aala', 'p']"
doston ki bharpoor farmaish pe aik baar phr se arz kia hai 3,positive,,"['doston', 'ki', 'bharpoor', 'farmaish', 'pe', 'aik', 'baar', 'phr', 'se', 'arz', 'kia', 'hai', '3']"
a reference at memory level works same as a pointer paiwasta reh shajjar se umeed e bahaar rakh d,positive,,"['a', 'reference', 'at', 'memory', 'level', 'works', 'same', 'as', 'a', 'pointer', 'paiwasta', 'reh', 'shajjar', 'se', 'umeed', 'e', 'bahaar', 'rakh', 'd']"
bohat aala,positive,,"['bohat', 'aala']"
ravian bhai aap sohnay ho to pta ni bongay zarur ho p is shayr main shaayr kehta hai kay main chat main in likhta hu to vo int likha jata hai aap ye keh re kay aap int ki jga in likhtay ho shame on you d,positive,,"['ravian', 'bhai', 'aap', 'sohnay', 'ho', 'to', 'pta', 'ni', 'bongay', 'zarur', 'ho', 'p', 'is', 'shayr', 'main', 'shaayr', 'kehta', 'hai', 'kay', 'main', 'chat', 'main', 'in', 'likhta', 'hu', 'to', 'vo', 'int', 'likha', 'jata', 'hai', 'aap', 'ye', 'keh', 're', 'kay', 'aap', 'int', 'ki', 'jga', 'in', 'likhtay', 'ho', 'shame', 'on', 'you', 'd']"
jab last smester main arrays parhae thyn sir told us to write down these golden lines d,positive,,"['jab', 'last', 'smester', 'main', 'arrays', 'parhae', 'thyn', 'sir', 'told', 'us', 'to', 'write', 'down', 'these', 'golden', 'lines', 'd']"
anmol baat,positive,,"['anmol', 'baat']"
